users,measured_rt,mva_rt,sim_rt,measured_x,mva_x,sim_x,mva_util_pct
20,0.07858,0.0362427,0.0388034,4.74,4.95508,4.95212,15.3607
30,0.07758,0.039765,0.0425665,6.77,7.42613,7.42246,23.021
40,0.07058,0.0440236,0.0472216,9.82,9.89108,9.87862,30.6624
50,0.07463,0.0492673,0.0531621,11.77,12.3478,12.3417,38.2783
60,0.08963,0.0558657,0.0609476,14.77,14.7933,14.7711,45.8593
70,0.09758,0.0643878,0.071187,17.05,17.2227,17.1973,53.3903
80,0.09258,0.0757466,0.0851437,19.05,19.6282,19.5767,60.8474
100,0.11058,0.114267,0.13603,24.5,24.3055,24.164,75.3472
120,0.19058,0.20514,0.271967,29.5,28.5364,28.0635,88.4627
140,0.37058,0.453003,0.653995,32.51,31.4393,30.0778,97.4618
150,0.47058,0.681188,0.954409,31.51,32.043,30.2708,99.3333
160,0.62058,0.964965,1.27797,32.51,32.2257,30.311,99.8996
